Species,Range
Acrocephalus astrolabii,"This species is known from two specimens thought to have come from the Gambier Islands, French Polynesia (Cibois et al. 2011, Hume 2017)."
Acrocephalus musae,"Acrocephalus musae was known from the Society Islands, French Polynesia."
Himatione fraithii,"Himatione fraithii was endemic to Laysan, in the northwestern Hawaiian Islands, United States, but became extinct in 1923 (Hume 2017)."
Ciridops anna,"Ciridops anna was endemic to Hawaii, USA. It is only known from five specimens, in Harvard, Honolulu, New York and Tring (Greenway 1967), the latter with two (Knox and Walters 1994), and a possible sight record in 1937 (Munro 1944). Fossils of the genus have been found on Kaua'i, Moloka'i and O'ahu (James and Olson 1991). The last specimen was collected in 1892 (Greenway 1967)."
Drepanis funerea,"Drepanis funerea was only ever seen in forest understorey on Moloka`i, Hawai`i, USA, although fossils are known from the adjacent Maui (James and Olson 1991)."
Rhodacanthis palmeri,"Rhodacanthis palmeri was endemic to Hawai'i, USA (Stattersfield et al. 1998)."
Rhodacanthis flaviceps,"Rhodacanthis flaviceps was probably very rare when discovered and is known from only a handful of skins from Kona, Hawai'i, USA (Stattersfield et al. 1998). It was observed and collected over a period of only a few days in 1891, and Perkins failed to find it on a visit two years later (Greenway 1967, Hume 2017). This or a similar species is also known from the fossil record of O'ahu and Maui (James and Olson 1991). "
Chloridops kona,"Chloridops kona was endemic to Hawai'i, USA (Stattersfield et al. 1998). The genus is known from fossils from Kaua'i, O`ahu and Maui (James and Olson 1991)."
Loxops wolstenholmei,"Loxops wolstenholmei was endemic to the Hawaiian Islands, U.S.A. on O'ahu."
Viridonia sagittirostris,"This species was only found along the Wailuku river above Hilo on Hawai`i, USA (Lindsey et al. 1998)."
Akialoa stejnegeri,"Akialoa stejnegeri was found on Kaua'i, Hawaii, USA (Olson and James 1995, Stattersfield et al. 1998)."
Dysmorodrepanis munroi,"Dysmorodrepanis munroi is an Extinct taxon known from only a single specimen collected in 1913, and from single sightings in 1916 and 1918, on Lana'i, Hawaii, USA (Munro 1944)."
Akialoa obscura,"Akialoa obscura was endemic to Hawai`i, USA."
Akialoa lanaiensis,"Akialoa lanaiensis was found on Lana'i, Hawaii (Stattersfield et al. 1998). In addition, fossil material allied to this taxon has been found on Moloka'i and Maui."
Akialoa ellisiana,"Akialoa ellisiana was endemic the mountains of O'ahu, Hawaii, USA (Stattersfield et al. 1998)."
Paroreomyza flammea,"Paroreomyza flammea was endemic to Moloka'i, Hawaii, USA (Stattersfield et al. 1998). The last record was in the Kamako'u Preserve in 1963 (Collar et al. 1994)."
Myadestes myadestinus,Myadestes myadestinus was endemic to Kaua'i in the Hawaiian Islands (USA).
Heteralocha acutirostris,"Heteralocha acutirostris was endemic to the southern portion of the North Island, New Zealand."
Poodytes rufescens,"This species was endemic to Chatham, Pitt and Mangere Islands in the Chatham Islands, New Zealand (Greenway 1967, Hume 2017)."
Gerygone insularis,"Gerygone insularis was endemic to Lord Howe Island, Australia."
Anthornis melanocephala,"Anthornis melanocephala was endemic to Chatham, Pitt, Mangere and Little Mangere Islands, New Zealand (Greenway 1967)."
Ninox albifacies,This species was endemic to New Zealand with the nominate race on the South and Stewart Islands and the subspecies rufifacies on the North Island.
Coenocorypha barrierensis,"Coenocorypha barrierensis was known only from Little Barrier Island, New Zealand where a single specimen was collected in 1870."
Prosobonia cancellata,"The type specimen was collected in 1778 on Kiritimati (= Christmas Island), Kiribati (Walters 1993)."
Prosobonia ellisi,"Prosobonia ellisi is known only from two paintings (both in London), by Ellis and Webber, each based on a specimen (both now lost) collected by Anderson on Moorea, in the Society Islands, French Polynesia, during Cook's third voyage in 1777 (Walters 1994)."
Psittirostra psittacea,"Psittirostra psittacea was originally widespread in the Hawaiian Islands (USA), but was extirpated from O'ahu, Maui, Moloka'i and then Lana'i between 1899 and 1931 (Snetsinger et al. 1998). On Kaua'i, it survived in the Alaka'i Wilderness Preserve into the mid-1970s, with c. 62 birds being present during 1968-1973 (USFWS 1983), but only a few in 1981 (Scott et al. 1986), two in 1989 and none since. On Hawai'i, several populations were present in the early 1980s, with c.394 estimated during 1976-1983 (Scott et al. 1986) but, in 1984, a lava-flow from Mauna Loa passed through the Upper Waiakea Forest Reserve, the species' stronghold (Scott et al. 1986, Snetsinger et al. 1998). In 1982 and 1992 Hurricanes ‘Iwa and ‘Iniki battered the Alaka'i swamp, the last known range of Ou on Kaua'i, and had devastating effects on the native forest. Three species of bird, including Ou, were not seen on Kaua'i since these hurricanes (USFWS 2022). However, there have been unconfirmed reports from Koai'e Stream, Alaka'i (Kaua'i) and Pu'u Maka'ala Natural Area Reserve and Kapapala-Ka'u Forest Reserve (Hawai'i) up to 1996 (Snetsinger et al. 1998, J. Lepson in litt. 1999)."
Zosterops albogularis,Zosterops albogularis was endemic to Norfolk Island (to Australia). By the 1970s it had become confined to weed-free indigenous forest in and around the Norfolk Island National Park.
Hemignathus hanapepe,"Hemignathus hanapepe was endemic to Kaua'i in the Hawaiian Islands, U.S.A., where the last confirmed record was two specimens taken in 1899 (Munro 1960). It probably became confined to the Alaka'i Wilderness Preserve (Scott et al. 1986, Conant et al. 1998) and since its 'rediscovery' in 1960 (Richardson and Bowles 1964) it has been reported there at least 30 times. Although at least some, if not all, of these sightings lack sufficient evidence to eliminate Chlorodrepanis stejnegeri (Pratt and Pyle 2000)."
Loxops ochraceus,"Loxops ochraceus was endemic to Maui, Hawaiian Islands, U.S.A. Most specimens were obtained above Olinda, although some were taken from Kipahulu Valley (Pyle and Pyle 2017). Between 1950 and 1995, Loxops ochraceus were observed on the upper slopes of Haleakala, Kipahulu Valley and Ko'olau Forest Reserve. The last confirmed record in 1988 was in Hanawi Natural Area Reserve; an unconfirmed audio recording in 1994 was taken during a Rare Bird Search survey, also from Hanawi Natural Area Reserve. An unconfirmed 1995 recording was taken in Kipahulu Valley (Reynolds and Snetsinger 2001)."
Todiramphus cinnamominus,"Todiramphus cinnamominus occurred on Guam (to U.S.A.),  but became extinct in the wild in 1988 as a result of predation from the introduced brown tree snake Boiga irregularis (del Hoyo et al. 2001). What were believed to be the last 29 individuals were caught and taken into captivity in 1984-86, though presumably a very small population persisted until 1988 when the last individual was seen in the wild (Wiles et al. 2003). An estimated 139 individuals are held at 25 AZA institutions and in a facility at the Guam Department of Agriculture’s Division of Aquatic and Wildlife Resources, and breeding facilities are currently at capacity (USFWS 2023)."
Anas marecula,"Anas marecula was endemic to Amsterdam Island and St Paul Island, French Southern Territories (Hume 2017). "
Columba thiriouxi,"Columba thiriouxi is known from subfossil remains on Mauritius (Hume 2011). It is thought to have become extinct around 1730 (Hume and Walters 2012). Available specimen material is limited, and there is some doubt about the validity of the species since currently available material may not satisfactorily exclude C. livia (R. Roe in litt. 2014)."
Nesoenas duboisi,Nesoenas duboisi is based on Dubois' 1674 description of rusty-red pigeons from Réunion (Rothschild 1907).
Nesoenas cicur,Nesoenas cicur is known from subfossil remains on Mauritius (Hume 2011).
Nesoenas rodericanus,Nesoenas rodericanus is known from subfossil remains found in caves on Rodrigues (Mauritius; Hume 2017).
