"assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","redlistCategory","yearLastSeen","yearPublished","assessmentDate","criteriaVersion","language","rationale","habitat","threats","population","range","useTrade","systems","conservationActions","realm","scopes"
16935685,54837,"Nectophrynoides asperginis","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","BUFONIDAE","Extinct in the Wild","2004",2015,"7/25/2014",3.1,"English","This species was listed as Extinct in the Wild (EW) in 2009 because no self-sustaining population existed in the wild at that time. The 2014 assessment is observing the five year rule set out in section 2.2.1 of the Guidelines for Using the IUCN Red List Categories and Criteria, which requires a species to remain in its original category for a time period of five years from the time it no longer meets the criteria for that category (IUCN Standards and Petitions Subcommittee 2014). As reintroductions began in 2013, the species will require reassessment in 2018. This five-year time period will allow for monitoring of the species' recovery and the viability of its re-introduced population.","This species lived only in soaked herbaceous vegetation in the spray zone of the Kihansi Falls. An artificial gravity-fed sprinkler system is currently in place to mimic the original conditions of the spray zone. The toad breeds by internal fertilization, with females retaining the larvae internally in the oviduct until little toadlets are born. Clutch size varies from 5–13 offspring (Channing et al. 2006).","The serious decline and extinction of this species appears tp be related to the Lower Kihansi Hydropower Project, which involved the construction of a dam upstream on the Kihansi River in 2000. The dam cut off 90% of the original water flow to the gorge, thereby hugely reducing the volume of spray, particularly in the dry season, as well as altering the vegetational composition. An artificial gravity-fed sprinkler system was set up to mimic the natural spray of the Kihansi ecosystem with the remaining water flow. Unfortunately, the sprinkler system was not ready by the time the water was cut off in 2000, and by the time the sprinklers came on nine months later the ecosystem had already dried up (see Krajick 2006). Later, during the dry season in 2003, the artificial sprinkler system failed for a while. Around this time, the fungal disease chytridiomycosis was confirmed in dead animals of this species, and this disease is probably responsible for the final population crash. It is possible that the drought caused by the failure of the sprinkler system resulted in stress to the animals that rendered them susceptible to the disease. There are also reports that the 2003 crash coincided with a brief opening of the dam's floodgates to flush sediments; tests showed that these contained pesticides used in maize farming operations upstream, in concentrations sufficient to kill the toads (Krajick 2006). The impact of predation by safari ants (Dorylus sp.) and crabs (Potomonautes sp.) is unknown (Channing et al. 2006).","Formerly it was abundant in a tiny area, with a population of around 17,000 individuals. Reports indicate that the species fluctuated naturally in its population size. The population appeared to be at a high in May 1999, dropping to lower numbers in the course of 2001 and 2002 [total population estimates oscillated at around 11,000 individuals up until March 2002; see Channing et al. 2006], and at a high again in June 2003 [a total population estimate of 20,989 individuals; Channing et al. 2006]. However, subsequently the population went into steep decline, and by mid-January 2004, only three individuals could be seen and just two males were heard calling. There were a few records of calling animals during the rest of 2004, and an unconfirmed report from May 2005 (CBSG 2007), but there were no records of any individuals in subsequent years, despite surveys, leading to the species being listed as Extinct in the Wild in May 2009.In an effort to re-introduce the species into the wild, Toledo and Bronx Zoos have been conducting an ex situ breeding programme. In June 2012 1,000 toads were involved in release experiments (where some were retained in a captive facility at Kihansi and a few were sent to the gorge). In October 2012 2,000 toads were re-introduced back to the gorge. In October 2013 2,000 toads were involved in several activities (where some were kept at Kihansi captive breeding facility, some were used for release experiments and some were re-introduced back to the gorge). There is a plan to re-introduce another 2,000 toads to the wild probably in October 2014 (W. Ngalason  pers. comm. July 2014).","This species was a micro-endemic of the Kihansi Falls, in the Kihansi Gorge, in the Udzungwa Mountains, eastern Tanzania, at 600-940 m asl. Its global range covered an area of less than two hectares around the Kihansi Falls, and searches for it around other waterfalls on the escarpment of the Udzungwa Mountains have not located any additional populations (Channing et al. 2006).","In 2000, at the invitation of the Tanzanian government, the Bronx Zoo collected 499 individuals to establish an ex-situ breeding programme in view of creating an assurance population.","Terrestrial|Freshwater (=Inland waters)","This toad is not known from any protected areas. Sufficient minimum bypass flow from the dam is required to maintain the spray habitat and an artificial sprinkler system is in place to provide these conditions - this is especially important in the dry season. Captive breeding is ongoing in Toledo and New York Bronx Zoos, and a captive population was established at the University of Dar es Salaam in 2010. Soft-release experiments, as well as full re-introduction, are ongoing and the reintroduced population is under regular monitoring. It is listed on CITES Appendix I.","Afrotropical","Global"
54340769,54498,"Atelopus chiriquiensis","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","BUFONIDAE","Extinct","1996",2020,"9/10/2019",3.1,"English","Listed as Extinct because it has not been recorded since 1996, and extensive searches in the appropriate habitat, during the appropriate season within the known range, have failed to locate this species. Its disappearance has been attributed, at least in part, to chytridiomycosis-related declines.","It is a diurnal, terrestrial species of stream margins in lower montane wet forest and rainforest. Males are territorial and use an advertisement call to maintain a breeding site. Breeding and larval development for this species takes place in forest streams (Savage 2002).","The amphibian chytrid fungus, Batrachochytrium dendrobatidis (Bd), was confirmed in this species in 1993 and 1994 (see Lips et al. 2003). The subsequent drastic population decline, including disappearances within undisturbed habitat, occurred over a five year period between 1992–1996 and has been linked to chytridiomycosis (Lips 1998). Climate change or the synergistic effects of multiple factors cannot be ruled out as playing a role in the declines (Costa Rica Red List Assessment Workshop September 2019). Tadpoles of this species may possibly have been threatened by exotic predatory trout, but the severity of this threat remains unknown (Costa Rica Red List Assessment Workshop September 2019).","This species was once considered locally abundant along streams (Lindquist and Swihart 1997, Lips 1998) and was formerly a very easy species to find (F. Bolaños pers. comm. September 2019). In Costa Rica, this species has disappeared from its entire range, and there have been no sightings since 1996, despite many searches in appropriate montane habitats since its disappearance (Leenders 2001, Garcia-Rodriguez 2012, F. Bolaños pers. comm. September 2019). Since 2014, searches for the species in 15 peaks across its historical range in Costa Rica failed to detect this species (G. Chaves and E. Arias pers. comm. September 2019). The Las Tablas site has been regularly surveyed (both targeted and general herpetological surveys), but no observations of this species have been made (D. Gómez and F. Bolaños pers. comm. September 2019). Visits to Cerro de la Muerte in 2019, and exhaustive surveys in Parque Nacional Chirripó were not successful in detecting the species (F. Bolaños pers. comm. September 2019). There have been no records in Panama since the late 1990s (Gratwicke et al. 2016), despite repeated surveys to known sites, the most recent of which was in December 2017 (R. Ibanez pers. comm. May 2018). Exhaustive searches throughout this species' range and within suitable habitat suggest it is probably extinct (Costa Rica Red List Assessment Workshop September 2019).","This species has disappeared from its entire range, but was historically found in the lower montane zone of the Cordillera de Talamanca-Chiriquí axis of Costa Rica (1,800–2,500 m asl) and western Panama (1,400–2,100 m asl) (Savage 2002).","There are no records of this species being utilized.","Terrestrial|Freshwater (=Inland waters)","Conservation Actions In-PlaceThe historical range of this species includes the protected areas of Parque Nacional Chirripó, Zona Protectora Las Tablas, Zona Protectora Los Santos (Costa Rica Red List Assessment Workshop September 2019), and Parque Internacional La Amistad in Panama. It has been designated as a high priority for conservation in the Panama National Amphibian Conservation Action Plan (ANAM 2011).Research NeededRecent observations of Atelopus varius Lazarus subpopulations in Costa Rica provide continued incentives for ongoing monitoring of sites where the species was previously know to occur.","Neotropical","Global"
54344718,55201,"Oophaga speciosa","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","DENDROBATIDAE","Extinct","1992",2020,"6/5/2018",3.1,"English","This is a diurnal highly visible animal that has been extensively searched for in the wild and is listed as Extinct due to the lack of records of this species from its restricted range.","It is a terrestrial species of humid lowland and montane forest. Breeding takes place in plants by larval development.","The chytrid fungus Bd swept through the region in 1996 (Lips et al. 2008) and the species has not been recorded since.","The species was formerly considered to be common, but it has not been recorded since 1992 when the last animals were exported from Panama to the US for the pet trade (LEMIS data obtained by B. Klocke in 2016). Multiple targeted surveys (including 2008, 2009 and 2010- Abel pers. comm. August 2019) have failed to record the species, as well as general biodiversity surveys within the species range in 2012 (R. Ibáñez pers. comm. August 2019). The effect of Batrachochytrium dendrobatidis (Bd) caused the species to decline and eventually become extinct.","This species is a Panamanian endemic of the western Cordillera Central adjacent to Costa Rica, at 1,370 m asl.","The species is highly sought after for the international pet trade. It is unknown if any animals persist in private collections; no individuals of the species are held in any of the world's zoo collections (ZIMS 2018).","Terrestrial","Conservation ActionsThere are historical records of the species from the Bosque Protector Palo Seco and Parque Internacional La Amistad. Research NeededIt is unknown whether this species persists in private captive collections, but there is a very slim possibility given that this was once a highly common species in the international pet trade and this should be investigated as a matter of extreme urgency.","Neotropical","Global"
54357699,3172,"Incilius periglenes","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","BUFONIDAE","Extinct","1989",2020,"9/11/2019",3.1,"English","Listed as Extinct because it has not been recorded since 1989, and extensive searches in the appropriate habitat, during the appropriate season within the known range, have failed to locate this species.","This species inhabited cloud and elfin forest, and was recorded breeding in temporary pools at the beginning of the rainy season.","Its restricted range, climate change, chytridiomycosis and airborne pollution probably contributed to this species' extinction (Pounds et al. 2006, Anchukaitis and Evans 2010, Cheng et al. 2011).","Formerly a common species, no specimen has been seen since 1989. It last bred in normal numbers in 1987, and its breeding sites were well known. In 1988, only eight males and two females could be located. In 1989, a single male was found, and that was the last record of the species (Pounds and Crump 1994, Pounds et al. 1997). Extensive searches since this time have failed to produce any more records (as of September 2019).","This species was known only from the Reserva Biológica Monteverde in Costa Rica. It occurred at elevations of 1,500-1,620 m asl.","","Terrestrial|Freshwater (=Inland waters)","The entire range of this species was protected by the Reserva Biológica Monteverde, however, it is now thought to be Extinct. Additionally, it is listed in CITES Appendix I (as Bufo periglenes).","Neotropical","Global"
54357815,19148,"Lithobates fisheri","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","RANIDAE","Extinct","1942",2022,"4/20/2021",3.1,"English","Listed as Extinct because it has not been recorded since 1942, and extensive searches in the appropriate habitat, during the appropriate season within the known range, have failed to locate this species.","There is little information available on the ecology of this species. At the type locality, it was restricted to freshwater streams, springs, seeps, and adjacent riparian habitat associated with the Upper Las Vegas Valley (Wright and Wright 1949). It is expected to have bred by larval development, as with congeners.","This species is extinct at the type locality due to habitat loss resulting from spring capture and ground water pumping by the growing city of Las Vegas (URS 1977), and exacerbated by the introduction of the Bullfrog Rana catesbeiana. Although some suitable habitat persists within or near the former range of this species, only R. catesbeiana can be found.","This species was last seen in 1942 (Wright and Wright 1949) and is now believed to be extinct at the type locality (Jennings, Riddle and Bradford 1995).","This species was only known from the northern portions of the Las Vegas Valley of Nevada (Jennings et al. 1995), and is thought to be extinct as the last sighting was around 1942. Hekkala et al. (2011) suggested that this species should be resurrected from extinction due to a reallocation of records from Lithobates chiricahuensis along the Mogollon Rim in Arizona and western New Mexico on the basis of mtDNA analysis. However, this claim has been disputed and is not currently recognized (Herrmann et al. 2021). Therefore, this species has not been recorded since 1942, despite survey effort throughout the area.","There are no records of this species being utilized prior to extinction.","Terrestrial|Freshwater (=Inland waters)","Conservation Actions In-PlaceThis species is considered to be extinct, therefore it does not have an official conservation status at the state or federal levels.","Nearctic","Global"
54358350,54549,"Atelopus senex","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","BUFONIDAE","Extinct","1986",2020,"9/9/2019",3.1,"English","Listed as Extinct because it has not been recorded since 1986, and extensive searches in the appropriate habitat, during the appropriate season within the known range, have failed to locate this species. Its disappearance has been attributed, at least in part, to chytridiomycosis-related declines.","It occurs and reproduces in stream margins in premontane rainforest and lower montane rainforest. It is a diurnal, stream-breeding species, and used to be found in great concentrations during the reproductive period from July to August (Savage 2002).","This species appears to have undergone rapid, dramatic declines across Costa Rica, including disappearances within undisturbed habitat, which has been associated with chytridiomycosis as observed in many other montane, steam-associated species across Mesoamerica. Climate change or the synergistic effects of multiple factors cannot be ruled out as playing a role in the declines (Costa Rica Red List Assessment Workshop September 2019). Other past threats to this species might have included collecting for the pet trade and pollution.","It was formerly a common species up until 1985 (F. Bolanos pers. comm. Sept 2019), but underwent serious declines and disappeared from its historical sites between 1987 and 1988 (Savage 2002, Cossel Jr. and Kubicki 2017). It has now disappeared from its entire range, and there have been no sightings since 1986, despite many searches in appropriate montane habitats since its disappearance. Annual surveys to multiple sites within Parque Nacional Braulio Carrillo from 2001–2019 were not successful in recording the species (J. Abarca and V. Acosta pers. comm. September 2019). Additional surveys in Parque Nacional Tapantí and Orosi since the 1990s until 2019 have not observed the species (F. Bolaños, K. Castro, J. Klank, G. Chaves and V. Acosta pers. comm. September 2019). It is now declared Extinct throughout its entire range (Costa Rica Red List Assessment Workshop September 2019).","This species has disappeared from its entire range, but historically it occurred in humid montane forest in central Costa Rica in the Cordilleras Central and Talamanca in Costa Rica from 1,280-2,040 m asl (Savage 2002).","It is Extinct, and therefore, unlikely to be in international trade any longer.","Terrestrial|Freshwater (=Inland waters)","The historical range of this species includes five protected areas in Costa Rica, including Parque Nacional Tapantí and Parque Nacional Braulio Carrillo.","Neotropical","Global"
54365740,56413,"Craugastor anciano","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","CRAUGASTORIDAE","Extinct","1990",2019,"4/13/2019",3.1,"English","Listed as Extinct. It was last seen in 1990, and exhaustive surveys at the species' known sites and the only other adjacent site with suitable habitat at suitable elevations have failed to record the species in several decades. The species experienced drastic population declines, probably due to chytridiomycosis and habitat loss, and has apparently not recuperated.","This species lived on the ground along mountain streams in premontane and lower montane moist forest. It presumably bred by direct development, with eggs laid on land, similar to other species in the Craugastor rugulosus series (McCranie and Castaneda 2007). It was not though to have tolerated habitat disturbance.","Species of the Craugastor rugulosus group appear to have undergone dramatic declines between mid 1980s to early 1990s across Honduras, including within undisturbed habitat which is a strong indicator of chytrid-related declines (Honduras Red List Assessment Workshop March 2019). Chytridiomycosis is thought to have contributed to the extinction of this species (J. Townsend, L. Herrera and J. Kolby pers. comm. March 2019), as well as habitat loss and degradation caused by agricultural encroachment, wood extraction, forest fires, water pollution, and landslides. The type locality of this species was already within a disturbed area of human settlement (J. Townsend pers. comm. March 2019). The second locality, Rio Arcaqual, is affected at lower elevations by a small dam that is undergoing increased use pressure by local communities; and if the species was still present, then it is thought that this would be a threat to it (L. Herrera, J. Townsend and H. Vega pers. comm. March 2019).Highland amphibians are adapted to inhabit a narrow climatic envelope. Changes in climate are expected to reduce the available suitable habitat and required microclimates. Rapid shifts in the climatic conditions required by these species would not allow sufficient opportunity for adaptation, especially in light of the limited possibility for elevational migration. Tropical Montane Cloud Forest (&gt;1,000 m asl) has been demonstrated to be negatively affected by climatic changes to a greater extent than other habitats (Foden et al. 2013, Wicaksono et al. 2017, Lyra et al. 2017, Neate-Clegg et al. 2018). An increase in high rainfall events is being observed throughout its range, as well as an increase in the frequency of extreme weather events (hurricanes and droughts) in the Caribbean, destroying the riparian habitat required by stream-dwelling and stream-associated amphibian species (Honduras Amphibian Red List Workshop March 2019). Climate change is therefore considered to be both a current and future threat to all amphibian species in this habitat type. Furthermore, amphibians globally are at an increased risk of disease (e.g. chytridiomycosis) and a decline in fecundity due to such changes (Pounds et al. 2006, Blaustein et al. 2010).","It had always been extremely rare, and is now considered to be extinct. Surveys were conducted for this species in 1995 and 1997, and no individuals were found (McCranie and Castaneda 2007). A two-night survey was conducted in 2008 at the type locality and did not record this species, and a 12 day survey (involving nine people for three days, and five people for the remaining six days) was conducted in 2015 that specifically looked for the two endemic amphibians on this mountain within suitable elevation range (including areas not previously surveyed for amphibians), and did not find the species (J. Townsend pers. comm. March 2019). Mapance NGO have conducted monthly biodiversity surveys since 2015, surveying from the visitor centre up the mountain which includes the second site that this species is known from for which there have been no records (H. Vega pers. comm. March 2019).  Furthermore, in 2017 and 2018 survey work was conducted in Volcan Pacayita, which is the only adjacent area with suitable habitat for the species; and no records of the species were found (F. Castañeda pers. comm. March 2019). The last verified sighting was in 1987 at the type locality, and in 1990 in Rio Arcaqual (Wilson and McCranie 2002). Given that there have been no records since 1990, despite extensive surveys in suitable habitat, it is likely that this species is extinct (J. Townsend, L. Herrera and J. Kolby pers. comm. March 2019).","This species was only known from two sites in the Montana de Celaque, Departments of Lempira and Ocotepeque, western Honduras, between 1,400-1,840 m asl. It was thought to be endemic to the mountain, and there is a lot of unsuitable habitat between the known locality and the next mountain (J. Townsend pers. comm. March 2019). Its extent of occurrence (EOO) was 97 km2.","There are no records of this species being utilized.","Terrestrial|Freshwater (=Inland waters)","This species occurred in Parque Nacional Celaque.","Neotropical","Global"
54369332,56782,"Craugastor myllomyllon","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","CRAUGASTORIDAE","Extinct","1978",2020,"8/21/2019",3.1,"English","Listed as Extinct because it has not been recorded since 1978, and extensive searches in appropriate habitat, during the appropriate season within the known range, have failed to locate this species.","This species was known to inhabit premontane wet forest, where it presumably reproduced by direct development (Savage 2000).","The habitat at the type locality has been destroyed by agriculture (Guatemala Red List Assessment Workshop August 2019).","This species is known from only a single female specimen collected in 1978 (Savage 2000). It is likely to be rare, since numerous surveys between 1998 and 2019 have been unsuccessful in locating this species, whereas other species of Craugastor have been recorded (Guatemala Red List Workshop Assessment Workshop August 2019). It is thought that this species is now Extinct (Guatemala Red List Workshop Assessment Workshop August 2019).","This species was formerly known to occur at the type locality of Finca Volcán in the Sierra de Xucaneb, Alta Verapaz Department, in central Guatemala. It was recorded at 875 m asl.","There are no records of this species being utilized.","Terrestrial","This species has not been recorded in any protected areas.","Neotropical","Global"
54369525,56810,"Craugastor omoaensis","ANIMALIA","CHORDATA","ANURA","AMPHIBIA","CRAUGASTORIDAE","Extinct","1974",2019,"3/12/2019",3.1,"English","Listed as Extinct because it has not been recorded since 1974, and extensive searches in the appropriate habitat, during the appropriate season within the known range, have failed to locate this species in several decades. The species experienced drastic population declines, probably due to habitat loss or a combination of habitat loss and chytridiomycosis, and has apparently not recuperated.","The species stream-associated species occurred in the Premontane Wet Forest formation. It reproduced by direct development along streams.","Habitat loss due to urbanisation and coffee farming is taking place in the region where this species was previously extant, which may have played a role in the the dramatic population decline. Some other species of Craugastor that are associated with streams have undergone dramatic declines and disappearances at higher elevations, possibly due to chytridiomycosis, which probably contributed to the extinction of this species (Honduras Red List Assessment Workshop March 2019).","It is known from 24 specimens. Formerly, it was moderately common, but has experienced a precipitous decline. It was last observed in 1974 by J. Lynch. A visit to the area of the type locality in 27 July 1996 failed to turn up individuals of this or any other amphibian and the area at that time was considerably more deforested than it was during 1974 (McCranie and Wilson 2002). Apparently the small stream where Lynch collected the type series had presumably long since dried up as a result of the continued deforestation of the steep montane slopes in the vicinity of the type locality (McCranie and Wilson 2002). There have been many efforts to locate this species since its apparent disappearance. For example, surveys between 2016-2018 have been conducted at the vicinity of the type locality at least 10 times and did not recorded the species, but recorded other species of Craugastor (L. Herrera pers. comm. March 2019).In addition to the habitat devastation having taken place in the vicinity of its type locality, the chytrid fungus Batrachochytrium dendrobatidis was reported in some frogs at a higher elevation site (1,690 m asl) from the Sierra de Omoa in northwestern Honduras by Kolby et al. (2010). Given that there have been no records since 1974, despite extensive surveys in suitable habitat, it is likely that this species is extinct (Honduras Red List Assessment Workshop March 2019).","This species was formerly known from moderate elevations in the Sierra de Omoa, near San Pedro Sula, on the slope of the Atlantic in Cortés, Honduras, between 760-1,150 m asl (McCranie and Castañeda 2007).","There are no records of this species being utilized.","Terrestrial|Freshwater (=Inland waters)","It was not known to occur in any protected areas.","Neotropical","Global"
54381158,59376,"Pseudoeurycea exspectata","ANIMALIA","CHORDATA","CAUDATA","AMPHIBIA","PLETHODONTIDAE","Extinct","1976",2020,"8/21/2019",3.1,"English","Listed as Extinct. It was last seen in 1976, and exhaustive surveys at the species' type locality and adjacent areas with suitable habitat have failed to record the species in several decades.","This species was known to inhabit deciduous broadleaf forest. Individuals have been collected from inside and beneath rotting logs, and from within bromeliads. It had also been found in severely degraded forest edges. Reproduction occurred by direct development, with females guarding the egg clutch.","The habitat in the species' range is seriously threatened by extensive smallholder farming activities (including cattle grazing) and logging.","This species used to be relatively common (J. Campbell pers. comm. August 2019), but it has not been recorded since 1976 (Wake and Lynch 1976; Guatemala Red List Assessment Workshop August 2019). Ten trips to the type locality to search for salamanders, between 1985 and 2000, did not record the species (J. Campbell and M. Acevedo pers. comm. August 2019). Visits to the range in 2005 and 2007 (S. Rovito and C. Vásquez Almazán pers. comm. 2007), as well as, six additional visits to the type locality between 2010–2018 did not reveal any individuals (C. Vásquez Almazán pers. comm. August 2019). It is thought that this species is now Extinct (Guatemala Red List Assessment Workshop August 2019).","This species was formerly known only from the vicinity of the type locality on Cerro Miramundo, in the highlands to the southwest of Jalapa, Departamento de Jalapa, Guatemala, at 2,530 m asl (Stuart 1954).","There are no records of this species being utilized.","Terrestrial","This species is not known from any protected areas.","Neotropical","Global"
