assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,redlistCategory,yearLastSeen,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,range,useTrade,systems,conservationActions,realm,scopes
546437,14881,Notropis amecae,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,LEUCISCIDAE,Extinct in the Wild,2008,2019,2018-12-05 00:00:00 UTC,3.1,English,"This species is endemic to the upper Río Ameca in Jalisco, Mexico. The species was considered extinct in 2000, but was later found in 2005 and 2008. In 2014, intensive surveys during ten months in the entire range of its distribution, and using different sampling techniques, did not find the species. In 2016, 40 individuals were reintroduced in its native range. Recent surveys have recorded the species there, but it is unclear if the population is viable. Based on this, the species is considered Extinct in the Wild. If the introduced population proves to be viable in the next few years, a reassessment should be conducted and a change in category may be considered.","The species used to occur above 1,300 m Asl, in the channel of Río Ameca and two tributaries, one fed by warm springs with much vegetation (including water hyacinth, green algae, Ceratophyllum, and Potamogeton), in slight, moderate or swift current, over sand, rock, and silt, at depths up to about 1 m (Miller et al. 2005). The Teuchitlán River (tributary fed by springs) has an average width of 6 m, with a bottom of silt, sand, gravel, rocks and boulders (Chernoff and Miller 1986).Spawning probably occurs from early spring to late summer, as suggested by mature adults and appearance of young. A single mature female examined contained 272 eggs (Miller et al. 2005, Soto-Galera and Alcántara-Soria 2007). ","The Teuchitlán River has been subject to destruction and modification resulting from the extraction of water for human consumption (Miller and Fitzsimons 1971, Williams et al. 1989). The river receives domestic drainage, effluents from runoff from agricultural fields of sugar and tequila agave that are subject to frequent applications of pesticides (López-López et al. 2003). In addition, the Ameca River basin is classified as strongly contaminated (Vázquez-Gutiérrez 1994). The exact cause of the population decline is not known but may be related to habitat loss from ground water depletion (López-López and Paulo Maya 2001). There are six introduced species in the Teuchitlán River that may be affecting this species (O. Domínguez Domínguez pers. comm. 2018). Introduced species represent 90% of total biomass and abundance of the species collected in the river (O. Domínguez Domínguez pers. comm. 2018).","Historically, this species was never common. Of 2,895 fishes collected in the upper Ameca river basin between 1939 and 1969, only 46 were N. amecae (Chernoff and Miller 1986). Before 1996 it was considered an extinct species (Hilton-Taylor, 2000). Later, it was reported by López-López and Paulo-Maya (2001) and in 2008 by J. Lyons and P. Gesundheit-Montero (UWZM 12145). In 2014, the entire distribution of the species was surveyed with appropriate methods during ten months (one week each time), and no individuals were collected. In 2016, 40 individuals of this species were re-introduced in Balneario El Rincon (O. Domínguez Domínguez pers. comm. 2018). These individuals come from a captive population of six individuals collected in 2005. The species is still apparently present there, but its population size and trend is not known (O. Domínguez Domínguez pers. comm. 2018).","This species is endemic to Mexico, where it used to occur in the upper part of Río Ameca-Magdalena basin, Jalisco (Miller et al. 2005).",This species is not used or traded.,Freshwater (=Inland waters),"It is currently considered a taxon endangered by the American Fisheries Society (Jelks et al. 2008). It is considered extinct under Mexican law NOM-059-SEMARNAT-2010. In 2016, the species was re-introduced in Balneario El Rincon, but its population is currently not being monitored (O. Domínguez Domínguez pers. comm. 2018). Research is needed to determine the success and viability of the re-introduced population. The species is also being bred in captivity (O. Domínguez Domínguez pers. comm. 2018). Control of introduced species and education and awareness programs of local communities have also been implemented (O. Domínguez Domínguez pers. comm. 2018). The Teuchitlán River is a Ramsar site.",Neotropical,Global
546742,14894,Notropis saladonis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,LEUCISCIDAE,Extinct,1988,2019,2018-09-18 00:00:00 UTC,3.1,English,"Notropis saladonis was historically distributed in the Rio Salado in Nuevo Leon and Coahuila, Mexico. Despite repeating attempts in 1988, 1995 and later, sampling efforts have failed to record this species. As such, it is listed as Extinct.","Historical habitat included low velocity waters in the main channel of the Rio Salado, and in turbid to clear water over bedrock covered by mud and sandy silts (Miller et al. 2005).",Major historical threats that resulted in the range-wide extirpation of this species are unknown.,There is no information on the historical population trends of N. saladonis.,"The historical distribution of Notropis saladonis included the Rio Salado in Nuevo Leon and Coahuila, Mexico (Miller et al. 2005). Miller et al. (2005) report four historical collection localities. Despite exhaustive surveys within the historical range of this species in 1988, 1995 and later, sampling efforts have failed to detect it. It is now widely regarded as extinct (Contreras-Balderas et al. 2003, Jelks et al. 2008, Bennett and Conway 2010, Burkhead 2012).",There is no information on the historical use and trade of this species.,Freshwater (=Inland waters),There are currently no conservation actions directed towards this species as it is considered extinct.,Nearctic,Global
1970358,191116,Atherinella callida,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,ATHERINOPSIDAE,Extinct,1957,2019,2018-02-23 00:00:00 UTC,3.1,English,"Atherinella callida was a narrow endemic freshwater fish species known only from a single collection taken at Refugio, Veracruz, Mexico just west-north-west of Acatlan (Eschmeyer 1998, Chernoff 1986). The species has not been reported from the wild since 1957 (Burkhead 2012). Over the last fifty years there have been several comprehensive surveys but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). A continuing decline of the species' habitat quality has been reported as a result of water pollution from urban and industrial discharges and agricultural run-off, increased sedimentation, dewatering, and anthropogenic modifications to natural channels and flow regimes due to the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999,  Jelks, et al. 2008, Garrido et al. 2010). Based on these observations and the survey effort, the species is assessed as Extinct.","Very little is known about this freshwater riverine species, other than inhabiting rocky-bottomed waters, with a maximum known size of 55 mm (SL) (Miller 2005).","The specific threats which caused and related to the extinction of Atherinella callida are thought to be a direct result of habitat loss and degradation, including perturbations caused by factors such as sedimentation, water pollution from urban and industrial discharges and agricultural run-off, dewatering, and anthropogenic modifications to natural channels and flow regimes, as a result of the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999, Jelks et al. 2008, Garrido et al. 2010).",This species is thought to be extinct.,"Atherinella callida is a narrow endemic known only from a single collection taken at Refugio, Veracruz, Mexico just west north west of Acatlan (Eschmeyer 1998 Chernoff, 1986). The streams around Refugio drain into the Rio Tonto, a tributary to the Rio Papaloapan. There have been several comprehensive surveys over the last fifty years but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). The species has not been reported from the wild since 1957, which is considered the estimated year of extinction (Burkhead 2012).",Atherinella callida is believed to be extinct.,Freshwater (=Inland waters),Atherinella callida is believed to be extinct.,Neotropical,Global
1998432,191696,Allotoca goslinei,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Extinct in the Wild,2004,2019,2018-03-07 00:00:00 UTC,3.1,English,"Given the fact, that Allotoca goslinei was the dominant fish (ca. 75% proportional abundance) at the last known location of the study by Helmus et al. (2009), and then decreased in numbers since about the year 2000, to a few individuals in 2004, and zero when the habitat was extensively sampled in 2005–2006, it can be inferred that the species has disappeared completely from the wild. With no known location and no known wild population, but several captive populations in Europe, Mexico and the United States, the Banded Allotoca is assessed Extinct in the Wild.","Here is the habitat description from Smith and Miller (1987), slightly modified by Köck in 2018: ""At the type locality, the Río Potrero Grande flows through a steep-walled, twisting canyon of high gradient that is well shaded by willows (Salix spp.) and the canyon walls. The species was taken only from a quiet pool of clear to murky water, that was about 23 m long and 3.2-3.8 m wide, up to 1.2 m deep at the steeply shelving south bank and with a substrate of sand, silt, rocks and boulders. Filamentous algae were abundant, and there were small patches of floating vascular plants. In the dry season the current was slight to nil. This was the terminal pool before the creek emerged from the canyon and dropped precipitously to the Río Ameca. Allotoca goslinei was found primarily in shallow water (15-26 cm) underneath floating plants (water hyacinth, algae, and a Nasturtium-like plant) along the gradually sloping north side of the pool. The largest series came from beneath a single patch of floating plants about 3 m long and extending no more than 1 m into the pool. The water temperature during three visits were 16.4-20 °C from mid-day to late afternoon, mid February to early March. Other fishes taken in the same pool were a Catostomid, Moxostoma mascotae (now: Moxostoma austrinum), a Goodeid, Allodontichthys n. sp. (now: Allodontichthys polylepis) and a Poeciliid, Poeciliopsis infans. Rana sp. was also captured, including tagpoles and adults."" Wischnath (1993) additionally mentioned Ilyodon furcidens being a co-inhabitant. Based on the diet of related species, the Banded Allotoca was most likely feeding on small arthropods in the wild (Domínguez-Domínguez et al. 2002, Doadrio and Domínguez-Domínguez 2004, Webb et al. 2004). Schindler reported to Hieronimus (Hieronimus 1995), that on his visit of the type location in 1988, the water looked very polluted and reminded him more on a sewer than on a pool. The water was turbid, with little visibility, and the fish were caught only incidentally, but all species mentioned by Smith and Miller (1987) were present. Following Hieronimus, the condition of the habitat might be caused by an extremely dry spring in 1988.","Allotoca goslinei was moderately common until the year 2000 at the type location in the Río Potrero Grande. About that year, non native and invasive Green Swordtails (Xiphophorus hellerii) occurred, which invaded the type locality between 2000 and 2004 and increased in abundance while Allotoca goslinei decreased in abundance. The Swordtail is thought to have displaced Allotoca goslinei through competition for prey (Arthington 1989), since the stream habitat quality did not noticeably change (Helmus et al. 2009 unpublished data). Both species likely competed for the same sort of prey (Arthington 1989).","Deduced from inconclusive surveys conducted by Helmus et al. in 2005 and 2006 (Helmus et al. 2009), this species is likely extinct in nature. This can be decided due to the fact that in 2000 Alloctoca goslinei was still the dominant fish at the type locality (ca. 75% proportional abundance), but in extensive samplings of the river five, six years later, no more specimens were found. Based on this, the Banded Allotoca is feared to be Extinct in the Wild (Lyons 2011). A few captive strains do exist in Europe, Mexico and the United States, but all of them are low in numbers and not easy to maintain.","The Banded Allotoca was endemic to the Mexican federal state of Jalisco and historically only known from few collections in the headwaters of the Río Ameca, namely from the type location, the Río Grande (or Río, Arroyo, Potrero Grande about 10 km west of the town of Ameca), and from the Río Cuisillos (1 km east of the train station at Pacana near the Presa La Vega, where it coalesces with the Río Salado forming up the Río Ameca) (Smith and Miller 1987). From this distribution pattern, it can be inferred that it was more widespread in the headwaters of the Río Ameca drainage, but stayed either unnoticed or was very scarce. However, it was eliminated from the Río Ameca by the late 1990's, but remained moderately common in the Río Potrero Grande (Lyons 2011), until non-native swordtails (Xiphophorus hellerii) invaded the river after 2000. Being the dominant species in 2000, with about 75% proportional abundance, the numbers of Allotoca goslinei declined rapidly thereafter, and extensive samplings in 2005 and 2006 didn't show a single individual (Helmus et al. 2009). The last record dates back to 2004 (Lyons 2011).",The Banded Allotoca is not used for consumption and is not a target species for the ornamental fish trade.,Freshwater (=Inland waters),"The Banded Allotoca is included in the international ex-situ breeding project ""Allotoca-Mesa Central"" from the Austrian Association of Aquarists (ÖVVÖ) for all species of the genera Allotoca and Neoophorus (http://www.oevvoe.org/allotoca-mesa-central). Other conservation effort is a monitoring and ex-situ breeding project run by the Laboratorio de Biología Acuatica in Michoacan University, Morelia, MexicoNo other conservation efforts for this species are known. ",Neotropical,Global
2757376,20285,Skiffia francesae,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Extinct in the Wild,2010,2019,2018-04-18 00:00:00 UTC,3.1,English,"The Golden Skiffia was known from the type location, the Río Teuchitlán and from the El Molino pond in the endorheic Laguna de Sayula basin. It disappeared from the type location even before it was described due to habitat alteration by river fragmentation, water pollution, competition through non-native fish (Xiphophorus maculatus) and through destruction of the embankment by live stock, leading to a complete disappearance of habitat. From the El Molino pond, it was extirpated by a heavy drought in 2010. Taking into consideration that no wild population has been known for at least eight years, the species is assessed Extinct in the Wild. ","The former habitat was a quiet, thermal and clear to murky water with only a slight current. The substrate was deep mud with a few rocks, silt and sand. A few species of aquatic plants were present, comprising Eichhornia, Pistia, Ceratophyllum and Potamogeton. The Golden Skiffia prefered depths of less than 0.5 m. Miller and Fitzsimons measured water temperatures between 24 and 26 °C in February 1976 (Miller 2005). The gut is about two to three times the length of the fish. Kingston documented the content, mainly pennate diatoms, some filamentous algae, one small snail and a few pollen grains. The teeth are mainly bifid in both rows. This species definitively grazes on aufwuchs and algae on vertical structures. Another indication for this feeding behaviour are the upturned lips and the wedge-shaped head.The Balneario El Rincón is a trapezium shaped spring with clear water and ground of sand and silt. The width is about 12 m, the length is about 25 m long. There is an outlet into a dammed section of the Teuchitlán river used as cattle trough, and another outlet draining to the subsequent section of the river. The depth of the spring is around 1 m, the walls are concrete but bordered inwards partly with big rocks. In the east angle arises the main spring under the roots of a large Metasequoia tree. ","The species has disappeared from the wild. The biggest threat to a wild population will be non-native fish species. Several exotic species have been introduced near the type locality resulting in declines in native fishes within the Río Teuchitlán (Miller 2005). Meanwhile, exotic species (Oreochromis sp., Xiphophorus hellerii, Poecilia mexicana, Pseudoxiphophorus bimaculatus) make up to 95% of the individuals in the spring area of Teuchitlán (Medina-Nava et al. 2017). A study revealed that densities of Goodeid species were lower or were absent in localities in the Río Teuchitlán, where introduced species were abundant or where there were more than one introduced species (De La Vega-Salazar et al. 2003b). The river has been degraded due to the construction of the La Vega Dam and it is suggested that habitat degradation may have been the cause of the extant endemic Goodeids now being confined to a small area at the headwaters of the river. The species was also threatened as consequence of the springs being turned into spas, preventing movement of fish between pools (De La Vega-Salazar et al. 2003a).","This species is believed to be Extinct in the Wild and disappeared from the Río Teuchitlán due to competition from non-native fish, eventually Xiphophorus maculatus, through water pollution and river fragmentation, and modification of the springs into a water recreation area. The subpopulation from the El Molino pond, discovered in 2006, was a victim of a heavy drought in 2010 and became extirpated as well. ","The Golden Skiffia is a freshwater fish species endemic to the Mexican federal state of Jalisco. It was historically only known from the Río Teuchitlán in the Río Ameca headwaters and from the Río Ameca itself about 12 km east of the town of Ameca. Individuals collected from the El Molino pond (in 2006) in the endorheic Laguna de Sayula basin also belong to this species and those from the Presa La Ciénaga (Presa Buenavista), upper Río Ameca drainage, should be Golden Skiffia as well due to the drainage (determined as Skiffia multipunctata in 1963, before Skiffia francesae was described). Specimens from a historical collection (1939) of the Splotched Skiffia by Miller in a river near Santa Cruz de las Flores, endorheic Laguna Atotonilco drainage, probably belonged to Skiffia francesae as well due to the hydrographic history of this basin (Zacoalco paleolake included parts of the upper Río Ameca drainage), but this is uncertain. However, this species disappeared from all of these habitats and only persists in captivity.","The species is not used for human consumption, but targeted in the aquarium trade by a certain degree. In the 1970's a hybrid with Skiffia multipunctata (called ""Black Beauty"") was bred and regionally distributed, but probably disappeared again from the hobby.",Freshwater (=Inland waters),"No reintroduction or conservation actions are currently known for this species, but the Río Teuchitlán and the La Vega Dam are both sites included within a Ramsar site (Ramsar Secretariat Site No.2026, 2009). Although this does not include the Ameca River directly, it is the next extent of the water flow from these two systems, and so any conservation actions or water quality controls within these water-bodies might continue down stream into the Ameca River.In 2016, the Michoacan University started a reintroduction project for Zoogoneticus tequila and Notropis amecae, both emdemic to the Río Ameca headwaters. The first one, a Goodeid, and the second, a Cyprinid species, inhabited the Río Teuchitlán drainage in historical time, but have been extirpated by unknown reasons. The reintroduction area is focusing on the spring area and the subsequent river sections, mainly the part that is used as a trough, and the schedule includes a complete extraction of non-native fish species from these sections and a long term species control. This action would have a direct positive impact on the Golden Skiffia as exotics represent about 90% of the individuals, so a reintroduction of the species could be successful.",Neotropical,Global
2784905,23158,Xiphophorus meyeri,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,POECILIIDAE,Extinct in the Wild,1997,2019,2018-10-31 00:00:00 UTC,3.1,English,"The Marbled Swordtail is historically endemic and restricted to the springs of La Cascada and El Socavon, as well as the small creeks which connect these freshwater springs located in Melchor Muzquiz, Coahihula, Mexico. Due to complete loss of habitat through water abstraction for mining activities, the species is considered extinct in the wild. The last sighting of this species was in 1997 and it has since been extensively sampled. Its habitat has now been recovered and a major priority for conservation of this species is reintroduction of ex-situ individuals back into its natural habitat. Development of an ex-situ breeding program and expansion of ex-situ holding sites is necessary to secure the future of the species. This species is listed as Extinct in the Wild.","This Swordtail inhabits clean, spring-fed pools, modified as albercas (for swimming) that form a small creek with moderate current draining toward Muzquiz (Miller et al. 2005).","The species is now considered extinct in the wild. Its natural habitat has been severely threatened in the past by water abstraction for mining activities. These activities caused complete extirpation of the species throughout its range, as the species habitat was completely dried out. These activities have since ceased and the habitat has now been recovered (A. Valdes pers. comm. 2018).","A population decline was inferred as a result of an observed habitat loss and degradation caused by over-extraction of water resources which has partially desiccated the freshwater springs to which the species is restricted (Ceballos et al. 2016). More recently, a survey has concluded that the species has been completely extirpated from its range and is now extinct in the wild, with the only remaining individuals held in captivity at the Texas Xiphophorus Centre, Texas State University, San Marcos. This species was last seen in the wild in 1997 (D. Hendrickson pers. comm. 2018). Given its restricted available habitat, the survey has been extensive since its last sighting (A. Valdes pers. comm. 2018).","The Marbled Swordtail is now considered extinct in the wild. Prior to its extirpation, it was endemic and restricted to the freshwater springs of La Cascada and El Socavon, as well as the small creeks which connect these springs located in Melchor Muzquiz, Coahuila, Mexico (Ceballos et al. 2016).",This species is not utilized.,Freshwater (=Inland waters),The species is listed as threatened under the Mexican Official Norm (SEMARNAT 2010). Due to past threats this species is now Extinct in the Wild. These threats have since ceased and re-introductions into its now recovered habitat would be effective and are a priority moving forward (A. Valdes pers. comm. 2018). Development of further ex-situ populations are needed to better facilitate re-introductions and ensure the stability of the future of the species.,Nearctic,Global
3000349,4530,Characodon garmani,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Extinct,1900,2019,2018-04-18 00:00:00 UTC,3.1,English,"Characodon garmani was extirpated by habitat destruction and modification, and water extraction. Extensive collections in 1953 did not locate it (I. Harrison pers. comm. 2018). Thus, this species is assessed as Extinct (EX).","This freshwater species was formerly found in the Parras Valley. The (in former times) beautiful springs have been dammed and well-stocked with common carps, and the water was used primarily for agriculture. Between 1880 and 1895, six endemic species were been described from this locality; all disappeared within the following years.","Formerly found in the Parras Valley, it is now regarded extinct, most likely due to water abstraction (Almada-Villela 1990).","This species is thought to be extinct (Almada-Villela 1990) and there is only one specimen preserved, the Holotype.","The Parras Characodon, now extinct, was a freshwater species endemic to the Mexican federal state of Coahuila, formerly found in the Parras Valley (Almada-Villela 1990). This valley had no outlet to the sea and the habitat there was heavily modified before this species could be studied or protected in captivity. Many attempts have been made to find the species over the last 60 years with no success, and it is clearly extinct (Miller et al. 1989).",There is no use or trade information for this species.,Freshwater (=Inland waters),"Characodon garmani is deemed extinct, therefore no conservation actions are in place for this species.",Nearctic,Global
3004173,4589,Chasmistes muriei,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CATOSTOMIDAE,Extinct,,2013,2011-11-02 00:00:00 UTC,3.1,English,"This species, known from only one specimen, is extinct.",This was a riverine species.,This species was known from only one specimen. It is now believed to be Extinct; the causes of its extinction are unknown.,None extant. This species is known from only one specimen.,"This fish formerly occurred in the Snake River below Jackson Lake dam, Wyoming (Miller and Smith 1981).",This species was not utilized.,Freshwater (=Inland waters),"This species is extinct, so conservation actions are not applicable.",Nearctic,Global
3104750,6144,Cyprinodon alvarezi,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,CYPRINODONTIDAE,Extinct in the Wild,1994,2019,2018-09-12 00:00:00 UTC,3.1,English,"Cyprindon alvarezi was once restricted to the Potosi Spring northwest of Galeana in Nuevo Leon, Mexico. This species is now considered Extinct in the Wild as a result of total habitat loss, and has not been recorded at this locality since 1994. Institutional and private captive populations of C. alvarezi still exist.","Historical habitat included clear springs and spring-fed ditches in the presence of dense aquatic macrophytes over clay, mud, firm limestone and sandy substrates (Miller et al. 2005). Water temperature fluctuated annually from 16.5-23 oC. Potosi springs was at 1880 m elevation (Miller et al. 2005).","Major threats that led to the extirpation of C. alvarezi in the wild include a near total loss of habitat resulting from groundwater extraction, and the impacts of predatory and competitive introduced species (Contreras-Balderas and Lozano-Vilano 1996).",Cyprindon alvarezi has not been recorded in the wild since 1994 (Burkhead 2012). Surveys in nearby springs have not recorded the species.,"Cyprindon alvarezi was once restricted to the Potosi Spring northwest of Galeana, Nuevo Leon, Mexico (Miller et al. 2005). This species is now considered extinct in the wild as a result of total habitat loss, and has not been recorded at this locality since 1994 (Contreras-Balderas and Lozano-Villano 1996).",There is no information on the past use or trade of this species.,Freshwater (=Inland waters),"This species still occurs in captive populations, and can be found in both institutional and private collections (Koldewey et al. 2013, Maceda-Viega et al. 2016).",Nearctic,Global
3107266,6174,Cyprinodon longidorsalis,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,CYPRINODONTIDAE,Extinct in the Wild,1994,2019,2018-09-27 00:00:00 UTC,3.1,English,"Cyprinodon longidorsalis was historically restricted to Charco la Palma, a small spring within the Bolson de Sandia in Nuevo Leon, Mexico. Due to excessive groundwater pumping, this species was extirpated in the wild in 1994 and has not been reported since. Given the total desiccation of the only known location where this species occurred and the failure of the spring system that historically supplied water to Charco la Palma and surrounding surface springs, extirpation in the wild is beyond reasonable doubt. It remains in multiple captive collections in North America and Europe. As such, it is assessed as Extinct in the Wild.","Charco la Palma was characterized by clear water with a temperature of approximately 21 oC, muddy substrate, dense algal growth and sparse submerged vegetation, and a swampy outlet that extended 2-3 m from the spring pool (Miller et al. 2005).",The extirpation of C. longidorsalis in the wild is the result of groundwater extraction and the subsequent desiccation of habitat (Lozano-Vilano and Maza-Benignos 2017).,"This species is widely regarded as Extinct in the Wild (Jelks et al. 2008, Burkhead 2012, Baumsteiger and Moyle 2017, Lozano-Vilano and Maza-Benignos 2017). Given its unique evolutionary and spatial isolation and specific habitat requirements, it is highly unlikely that this species remains extant at other localities. ","Cyprinodon longidorsalis was historically restricted to Charco la Palma, a small spring within the Bolson de Sandia in Nuevo Leon, Mexico (Miller et al. 2005, Lozano-Vilano and Maza-Benignos 2017). It has not been collected since 1994 despite subsequent surveys, due to complete loss of habitat resulting from groundwater over-extraction for agricultural use in the surrounding region and is now considered extinct in the wild (Baumsteiger and Moyle 2017, Lozano-Vilano and Maza-Benignos 2017). ",There is no information on previous use or trade for this species.,Freshwater (=Inland waters),"This species is maintained in captive collections in Mexico, the United States, and Europe (Koldewey et al. 2013, Baumsteiger and Moyle 2017, Lozano-Vilano and Maza-Benignos 2017). Given that the native habitat does not exist anymore, there are no plans for reintroduction.",Nearctic,Global
