species,extant,class,family,genus,IUCN,diet,reptt_source,mammal_source,amphi_diet_breadth,amphi_diet_comments,Paluh_diet,Paluh_reference,AB_Body_mass_g,mammalBodyMass.Value,reptt_Diet,reptt_DietComments,reptile_diet_breadth,reptt_MaximumBodyMass_g,mammal_diet_breadth,n_habitat
Abrothrix lanosus,1,Mammals,Cricetidae,Abrothrix,LC,specialist,,,NA,NA,NA,NA,NA,27.83,NA,NA,NA,NA,specialist,20
Abrothrix longipilis,1,Mammals,Cricetidae,Abrothrix,LC,specialist,,,NA,NA,NA,NA,NA,38.86,NA,NA,NA,NA,specialist,39
Abrothrix olivaceus,1,Mammals,Cricetidae,Abrothrix,LC,specialist,,,NA,NA,NA,NA,NA,24.52,NA,NA,NA,NA,specialist,43
Abrothrix sanborni,1,Mammals,Cricetidae,Abrothrix,NT,specialist,,,NA,NA,NA,NA,NA,24.7,NA,NA,NA,NA,specialist,21
Acanthocercus atricollis,1,Reptiles,Agamidae,Acanthocercus,LC,generalist,,,NA,NA,NA,NA,NA,NA,Carnivorous,"Arthropods (beatles, flying insects ""and even small vertebrates"", Branch 2005, seeAlso Haagner etAl. 2000), mostlyAntsAnd termites ( Pienaar 1966)",generalist,177.8,NA,41
Acontias cregoi,1,Reptiles,Scincidae,Acontias,LC,specialist,,,NA,NA,NA,NA,NA,NA,Carnivorous,"insects (mostly termites, PiankaAnd Vitt 2003)",specialist,7.2,NA,23
Acontias occidentalis,1,Reptiles,Scincidae,Acontias,LC,generalist,"based on family; Shea, G. (2006). Diet of two species of bluetongue skink, Tiliqua multifasciata and Tiliqua occipitalis (Squamata: Scincidae). Australian Zoologist, 33(3), 359-368.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,NA,34
Acontias plumbeus,1,Reptiles,Scincidae,Acontias,LC,generalist,,,NA,NA,NA,NA,NA,NA,Carnivorous,invertebratesAnd small vertebrates,generalist,100,NA,40
Acontias rieppeli,1,Reptiles,Scincidae,Acontias,EN,generalist,"based on family; Shea, G. (2006). Diet of two species of bluetongue skink, Tiliqua multifasciata and Tiliqua occipitalis (Squamata: Scincidae). Australian Zoologist, 33(3), 359-368.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,19
Ambystoma maculatum,1,Amphibians,Ambystomatidae,Ambystoma,LC,generalist,,,generalist,,NA,NA,24,NA,NA,NA,NA,NA,NA,31
Ambystoma mavortium,1,Amphibians,Ambystomatidae,Ambystoma,LC,generalist,,,,,NA,NA,5,NA,NA,NA,NA,NA,NA,33
Ambystoma opacum,1,Amphibians,Ambystomatidae,Ambystoma,LC,generalist,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
Ambystoma talpoideum,1,Amphibians,Ambystomatidae,Ambystoma,LC,generalist,,,,,NA,NA,5.93,NA,NA,NA,NA,NA,NA,26
Ambystoma texanum,1,Amphibians,Ambystomatidae,Ambystoma,LC,generalist,,,,,NA,NA,10.98,NA,NA,NA,NA,NA,NA,30
Ambystoma tigrinum,1,Amphibians,Ambystomatidae,Ambystoma,LC,generalist,,,,,NA,NA,79,NA,NA,NA,NA,NA,NA,42
Amphiuma tridactylum,1,Amphibians,Amphiumidae,Amphiuma,LC,generalist,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
Allobates talamancae,1,Amphibians,Aromobatidae,Allobates,LC,generalist,,,,"Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica:a herpetofauna between two continents, between two seas. University of Chicago Press, Chicago, Illinois, USA and London.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,33
Arthroleptis affinis,1,Amphibians,Arthroleptidae,Arthroleptis,LC,generalist,,,,"Mbije, N.E. & Kamungu, A. 2021. Rainy Season Food Availability for Anurans of Kimboza Forest Reserve, Tanzania. Asian Journal of Biology, 12(4): 15-25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
Arthroleptis stenodactylus,1,Amphibians,Arthroleptidae,Arthroleptis,LC,generalist,,,,https://amphibiaweb.org/species/1432,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
Afroedura multiporis,1,Reptiles,Gekkonidae,Afroedura,NT,NA,no data,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,19
Afroedura pondolia,1,Reptiles,Gekkonidae,Afroedura,LC,generalist,,,NA,NA,NA,NA,NA,NA,Carnivorous,Insects,generalist,4.3,NA,32
Afrotyphlops bibronii,1,Reptiles,Typhlopidae,Afrotyphlops,LC,generalist,,,NA,NA,NA,NA,NA,NA,Carnivorous,Invertebrates,generalist,80,NA,41
Afrotyphlops dinga,1,Reptiles,Typhlopidae,Afrotyphlops,LC,generalist,squamatabase based on genus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
Afrotyphlops schlegelii,1,Reptiles,Typhlopidae,Afrotyphlops,LC,generalist,,,NA,NA,NA,NA,NA,NA,Carnivorous,Invertebrates,generalist,790.7,NA,43
Arthroleptis xenodactyloides,1,Amphibians,Arthroleptidae,Arthroleptis,LC,generalist,,,,"Mbije, N.E. & Kamungu, A. 2021. Rainy Season Food Availability for Anurans of Kimboza Forest Reserve, Tanzania. Asian Journal of Biology, 12(4): 15-25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,36
Leptopelis bocagii,1,Amphibians,Arthroleptidae,Leptopelis,LC,generalist,,,,Could not find,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
Leptopelis flavomaculatus,1,Amphibians,Arthroleptidae,Leptopelis,LC,generalist,,,,"Mbije, N.E. & Kamungu, A. 2021. Rainy Season Food Availability for Anurans of Kimboza Forest Reserve, Tanzania. Asian Journal of Biology, 12(4): 15-25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,35
Bombina maxima,1,Amphibians,Bombinatorina,Bombina,LC,generalist,,,,,generalist,"Fei, L., C. Ye. 2016. Amphibians of China, Volume 1. Science Press, Beijing.",NA,NA,NA,NA,NA,NA,NA,28
Brachycephalus ephippium,1,Amphibians,Brachycephalidae,Brachycephalus,LC,specialist,,,,,microphagous,"Oliveira, E.G., C.F.B. Haddad, 2015. Diet Seasonality and Feeding Preferences of Brachycephalus pitanga (Anura: Brachycephalidae). Journal of Herpetology 49: 252–256. ",15,NA,NA,NA,NA,NA,NA,30
