"","Longitude(x)","Latitude(y)","cropland_2arcmin_mean","built_mean","wc2.1_2.5m_elev_mean","Tree_loss_mean","trees_mean","wildareas-v3-2009-human-footprint_mean","maximum_temperature_mean_mean","Built_mean","Cropland_mean","Forestlandcover_mean","layer_mean","extinct_species_group","binomial_name","Presence","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct"
"1",-110.059563873,27.9786470350001,0.0533742755651474,0.00532973371446133,217.263885498047,0.00186941015999764,0.0656240582466125,7.91484975814819,17.4700565338135,0.00347222224809229,0.0590277761220932,0,NA,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"2",-109.059563873,27.9786470350001,0.00667197396978736,0.000795224390458316,900.740966796875,0.00261906324885786,0.589772820472717,3.97193908691406,29.9303531646729,6.21430808678269e-05,0.00105643237475306,0,NA,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"3",-100.059563873,27.9786470350001,0.00333817233331501,0.0051797041669488,220.293106079102,0.00590420607477427,0.016337912529707,5.99903297424316,29.920202255249,0,0,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"4",-99.0595638729999,27.9786470350001,0.00847315508872271,0.0126747665926814,154.168746948242,0.0139840980991721,0.196626558899879,5.70506000518799,29.0969009399414,0.0119352769106627,0,0,NA,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"5",-99.0595638729999,27.9786470350001,0.00847315508872271,0.0126747665926814,154.168746948242,0.0139840980991721,0.196626558899879,5.70506000518799,29.0969009399414,0.0119352769106627,0,0,NA,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"6",-98.0595638729999,27.9786470350001,0.242443442344666,0.0119044911116362,74.8279647827148,0.00878127291798592,0.315424054861069,7.24830150604248,28.5780811309814,0.000217500768485479,0.245525702834129,0,NA,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"7",-97.0595638729999,27.9786470350001,0.115678414702415,0.0197249632328749,12.205864906311,0.00671361060813069,0.109832420945168,4.84422445297241,-3902.54565429688,0.0255755931138992,0.0880212411284447,0,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"8",-110.059563873,26.9786470350001,0.275769382715225,0.00845928583294153,27.7229690551758,0.000505415955558419,0.00950843654572964,5.44541168212891,-5059.99609375,7.05336860846728e-05,0.269932478666306,0,NA,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"9",-110.059563873,26.9786470350001,0.275769382715225,0.00845928583294153,27.7229690551758,0.000505415955558419,0.00950843654572964,5.44541168212891,-5059.99609375,7.05336860846728e-05,0.269932478666306,0,NA,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"10",-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00802657753229141,0.297336727380753,6.3808422088623,-435.790344238281,0.00167166627943516,0.0683063864707947,0,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"11",-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00802657753229141,0.297336727380753,6.3808422088623,-435.790344238281,0.00167166627943516,0.0683063864707947,0,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
